                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.75783,                0.57697,                 1.1246,                0.86772,                0.79896,                0.87538,                0.66487,                0.90578,                0.59628,                 1.2565,              0.0005632,              0.0005632,              0.0005632
                     66,                0.73445,                0.54056,                 1.1185,                 0.8044,                0.82842,                0.88227,                0.67819,                0.91635,                0.61355,                 1.2451,             0.00056085,             0.00056085,             0.00056085
                     67,                0.74006,                0.54899,                 1.1113,                0.91478,                0.79421,                0.90274,                0.67712,                0.94571,                0.59561,                 1.2871,             0.00055849,             0.00055849,             0.00055849
                     68,                0.75741,                0.54773,                 1.1272,                0.87997,                 0.8392,                0.91135,                0.70114,                0.92508,                0.58313,                  1.258,             0.00055613,             0.00055613,             0.00055613
                     69,                0.71354,                0.54018,                 1.0953,                0.90259,                0.76448,                0.88547,                0.67689,                0.91872,                0.59152,                 1.2724,             0.00055378,             0.00055378,             0.00055378
                     70,                0.73672,                 0.5484,                 1.1153,                0.89571,                 0.8016,                0.90031,                0.67148,                0.93694,                0.61305,                 1.2934,             0.00055142,             0.00055142,             0.00055142
                     71,                0.70993,                0.53607,                 1.0953,                0.88506,                0.82512,                0.91228,                0.69811,                0.92668,                0.59032,                 1.2843,             0.00054907,             0.00054907,             0.00054907
                     72,                0.72319,                0.53389,                 1.1192,                0.83951,                 0.8373,                0.89634,                0.67771,                0.92978,                0.60405,                 1.2811,             0.00054671,             0.00054671,             0.00054671
                     73,                0.72615,                0.53413,                 1.1001,                0.85143,                0.80576,                0.89172,                0.66924,                0.92679,                0.59918,                 1.2873,             0.00054435,             0.00054435,             0.00054435
                     74,                0.71274,                0.50251,                 1.0944,                0.87752,                0.78994,                 0.8884,                 0.6859,                0.93432,                0.60955,                 1.2829,               0.000542,               0.000542,               0.000542
                     75,                0.69774,                0.54228,                 1.1079,                0.89683,                0.81373,                0.88754,                0.68601,                0.89721,                0.57937,                 1.2635,             0.00053964,             0.00053964,             0.00053964
                     76,                 0.6867,                0.50406,                 1.0894,                0.91329,                0.80319,                0.89121,                0.68076,                0.91012,                0.58197,                 1.2626,             0.00053728,             0.00053728,             0.00053728
                     77,                 0.7225,                0.50277,                  1.086,                0.89618,                0.79563,                0.89676,                0.68354,                0.90787,                0.56606,                 1.2576,             0.00053493,             0.00053493,             0.00053493
                     78,                0.72468,                0.53114,                 1.0997,                0.84925,                0.82055,                 0.8891,                0.67689,                0.91091,                0.59341,                 1.2658,             0.00053257,             0.00053257,             0.00053257
                     79,                0.68274,                0.51056,                 1.1115,                0.86723,                0.80201,                0.88391,                0.67815,                0.90998,                0.59623,                 1.2686,             0.00053022,             0.00053022,             0.00053022
                     80,                0.69742,                0.50093,                 1.0786,                 0.8709,                0.81935,                0.89735,                0.68918,                0.89385,                0.57496,                 1.2374,             0.00052786,             0.00052786,             0.00052786
                     81,                0.68733,                0.48556,                 1.0872,                0.82745,                0.84255,                0.89347,                0.68833,                0.92184,                0.56688,                 1.2949,              0.0005255,              0.0005255,              0.0005255
                     82,                0.69244,                  0.494,                 1.0906,                0.82182,                0.81766,                0.88271,                0.66761,                0.91064,                0.61113,                 1.2686,             0.00052315,             0.00052315,             0.00052315
                     83,                0.66568,                0.49699,                 1.0857,                0.82746,                0.76531,                0.85158,                0.64663,                0.93732,                0.61539,                  1.295,             0.00052079,             0.00052079,             0.00052079
                     84,                 0.7026,                0.50807,                 1.0797,                0.84135,                0.81567,                0.90132,                0.69359,                 0.9046,                0.56487,                 1.2685,             0.00051844,             0.00051844,             0.00051844
                     85,                0.70363,                 0.4849,                 1.0853,                0.85596,                0.79808,                0.86702,                0.67422,                0.92651,                0.61548,                  1.272,             0.00051608,             0.00051608,             0.00051608
                     86,                0.70525,                0.51353,                 1.0987,                0.88902,                0.80933,                0.88486,                0.68092,                0.92882,                0.58834,                 1.2724,             0.00051372,             0.00051372,             0.00051372
                     87,                0.68221,                0.48725,                 1.0852,                0.87537,                0.78562,                0.87688,                0.66426,                0.92301,                0.65193,                 1.2692,             0.00051137,             0.00051137,             0.00051137
                     88,                0.66544,                0.46601,                  1.064,                0.86183,                0.80862,                0.88736,                0.67724,                 0.9316,                0.56993,                 1.2766,             0.00050901,             0.00050901,             0.00050901
                     89,                 0.7095,                0.48534,                 1.0854,                0.89392,                0.79717,                0.88624,                0.67707,                0.92845,                0.57981,                 1.2789,             0.00050665,             0.00050665,             0.00050665
                     90,                0.70425,                0.48353,                 1.0712,                0.88514,                0.78836,                 0.8776,                0.66717,                0.93733,                0.61209,                 1.2831,              0.0005043,              0.0005043,              0.0005043
                     91,                0.65825,                0.47496,                 1.0707,                0.86321,                0.81876,                0.88734,                0.66922,                0.93323,                0.58127,                 1.3083,             0.00050194,             0.00050194,             0.00050194
